date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,9.7,6.4,11.6,24,,150,7.8,,1008.1,
2022-01-02,9.1,1.8,13.4,5.2,,315,15.7,,1005.6,
2022-01-03,-1.9,-4.6,1.3,2.5,,1,22.7,,1019.4,
2022-01-04,-2.8,-6.2,0.8,0,,270,11.1,,1028.1,
2022-01-05,3,-1.5,7.9,3.3,,224,13.3,,1014.3,
2022-01-06,1.5,-0.4,3.2,0,,269,14.7,,1011.8,
2022-01-07,-1.2,-5.4,0.9,8.1,,320,20.5,,1012.4,
2022-01-08,-6,-8.3,-3.4,0,,270,12,,1033.4,
2022-01-09,1.5,-4.5,5,3.2,,225,17.6,,1023.1,
2022-01-10,-2.1,-4.7,4.1,0,,289,20.6,,1020.2,
2022-01-11,-7.2,-9.3,-4.8,0,,336,18.1,,1031.2,
2022-01-12,-1.2,-6.2,5,0,,218,16.1,,1023.3,
2022-01-13,1.1,-3.3,7.4,0,,321,7.3,,1015.6,
2022-01-14,1.3,-6.1,5.4,0,,359,24.2,,1009.8,
2022-01-15,-8.2,-11.2,-4.9,0,,355,18.2,,1024.4,
2022-01-16,-4.4,-12.3,5,5.1,,51,15.6,,1024.6,
2022-01-17,3.8,0.1,9.3,27.1,,210,31.6,,989.7,
2022-01-18,-1,-4.5,1.9,0,,301,21.7,,1012,
2022-01-19,2.3,-4.8,7.5,0,,206,16.8,,1018.4,
2022-01-20,-0.1,-7.5,4.2,7.8,,315,18.1,,1021.6,
2022-01-21,-8.7,-12.1,-5.2,0,,2,20.2,,1033.2,
2022-01-22,-6.5,-12,-1.4,0,,347,12.6,,1027.2,
2022-01-23,-2,-5.4,2.5,0.1,,239,12.1,,1012.9,
2022-01-24,-1.8,-3.9,0.4,0.1,,339,10.5,,1011.8,
2022-01-25,1.3,-3.9,6.6,0,,260,12.2,,1014.3,
2022-01-26,-5.6,-7.6,-2.8,0,,336,14.5,,1027.4,
2022-01-27,-4.5,-9.2,0.4,0,,145,11,,1029.2,
2022-01-28,-1.2,-2.9,0.9,2,,294,8.8,,1019.6,
2022-01-29,-8.8,-12.4,-1.9,17.6,,334,29.7,,1007.4,
2022-01-30,-10.3,-12.7,-6.1,0,,282,14.9,,1016.3,
2022-01-31,-10.7,-16.1,-4.6,0,,13,8.6,,1027.7,
2022-02-01,-3.2,-12.3,4.4,0,,34,13,,1034,
2022-02-02,4.1,1.1,8.3,0,,36,8.6,,1030.6,
2022-02-03,6.9,5,10,8.7,,314,4.8,,1023.5,
2022-02-04,5.2,-1.1,12.8,13.7,,1,11.1,,1013.3,
2022-02-05,-2.7,-5,0.6,0.1,,331,5.8,,1025,
2022-02-06,-2.7,-6.7,1.7,0,,75,9.2,,1036,
2022-02-07,2.3,0.6,3.9,4.2,,45,9.5,,1025.1,
2022-02-08,4,0.6,8.9,0.4,,274,9.7,,1014.4,
2022-02-09,3.1,-1.1,7.8,0,,234,8.5,,1017.7,
2022-02-10,7.4,3.9,12.2,0.1,,268,12,,1012.2,
